Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Collared plover,C. collaris 01,NA,NA,NA,NA,172,174,346,173
Collared plover,C. collaris 02,NA,NA,NA,NA,172,174,346,173
Collared plover,C. collaris 03,NA,NA,NA,NA,172,172,344,172
Collared plover,C. collaris 04,NA,NA,NA,NA,182,182,364,182
Collared plover,C. collaris 05,NA,NA,NA,NA,172,174,346,173
Collared plover,C. collaris 06,NA,NA,NA,NA,172,172,344,172
Collared plover,C. collaris 07,NA,NA,NA,NA,172,174,346,173
Collared plover,C. collaris 08,NA,NA,NA,NA,170,172,342,171
Collared plover,C. collaris 09,NA,NA,NA,NA,168,172,340,170
Collared plover,C. collaris 10,NA,NA,NA,NA,170,172,342,171
Collared plover,C. collaris 11,NA,NA,NA,NA,172,172,344,172
Collared plover,C. collaris 12,NA,NA,NA,NA,170,174,344,172
Collared plover,C. collaris 13,NA,NA,NA,NA,174,174,348,174
Collared plover,C. collaris 14,NA,NA,NA,NA,174,176,350,175
